[mean success],blue_jet_speed,red_jet_speed,blue_jet_sensor_range,red_jet_sensor_range,blue_AEW&C_speed,red_AEW&C_speed,blue_AEW&C_sensor_range,red_AEW&C_sensor_range,blue_GBAD_speed,red_GBAD_speed,blue_GBAD_sensor_range,red_GBAD_sensor_range,blue_GBAD_weapon_range,red_GBAD_weapon_range,blue_AWD_speed,red_AWD_speed,blue_AWD_sensor_range,red_AWD_sensor_range,blue_AWD_weapon_range,red_AWD_weapon_range,blue_subs_speed,red_subs_speed,blue_subs_sensor_range,red_subs_sensor_range,blue_subs_weapons_range,red_subs_weapons_range,AIM120-PK,AIM120-Range,AIM9-PK,AIM9-Range,AGM88-PK,AGM88-Range,AWD-PK,GBAD-PK
0,1498.018588,2321.309415,78.32939438,92.46959043,768.9842587,560.5262395,433.5634717,263.9035389,35.03186544,11.57875588,114.2226757,150.6154874,206.6214098,217.1054102,56.8392385,45.90519717,90.15441776,59.32195602,169.6455735,180.6007423,30.67341919,48.97390186,114.1163405,206.0696085,202.25929,249.8096701,0.779041829,115.9785469,0.98,19.74773752,0.744627107,94.87876438,0.5,1
0,2354.914481,1993.342603,155.7940506,167.4502234,317.8852716,779.1304425,236.2730464,369.0842256,24.72220046,38.13245973,163.945628,81.80662666,181.9385616,72.68201062,46.22787661,53.81860033,93.65962005,172.7960079,206.9702814,238.1498011,41.91120877,47.5282847,196.885217,150.5629666,89.51170259,211.7000927,0.48,135.7955955,0.98,20.04507072,0.740253495,119.08949,0.996517472,1
0,2013.264736,2019.123522,139.399099,108.3704811,1447.70442,666.4205764,408.2155741,601.8302383,21.97293742,13.65461276,144.1930803,160.0633989,187.9934961,91.76938397,59.36038046,53.08303768,210.9568525,203.6303524,171.7496483,190.0356906,28.70676738,38.60873844,198.9467788,206.0349357,143.5900018,176.2001025,0.55845165,112.131233,0.48,19.73471862,0.708019753,92.07435506,0.616290477,0.991019304
0,2510.34776,2524.213887,162.6518056,38.16574648,884.6573498,1327.564936,543.6039222,491.6583595,40.91691692,12.61340995,176.6639563,100.8778046,111.3987658,187.4500115,59.7099312,51.21847368,130.5039013,206.3614074,116.9185127,144.0765828,29.32841178,33.58075674,250.936157,249.1372616,192.8255647,203.323775,0.903709736,92.36134597,0.595451243,28.48535843,0.572792183,103.8321163,0.579289046,1
0.995,1376.277171,1788.492372,152.5291501,73.57205472,792.0958625,219.7177416,599.639829,645.1669953,49.76583786,40.27666355,127.8304849,133.4727545,83.71455311,89.96239606,50.01892452,55.70055079,153.3827061,68.55560856,154.4231804,102.4514613,44.59552995,34.56535828,186.9239054,172.6482074,128.908708,206.0611216,0.542817979,78.68168274,0.98,26.63221376,1,115.6882272,0.872829282,1
0,2449.27669,2421.117398,112.1280806,100.1673157,669.644958,1262.180485,257.7081008,173.7925602,45.62985662,13.40945631,180.6536555,148.2341986,92.68465767,166.0580336,47.35421311,34.76011391,135.5007027,291.495392,136.057686,98.05055574,27.05421029,36.50544387,90.66382514,178.8671514,106.1732598,104.3739222,0.482737355,87.40603894,0.98,26.17909285,0.797803865,86.70795322,0.98304772,0.771425579
0,1796.649808,1384.110193,123.082581,135.1818005,584.1320858,703.2701075,541.3910765,610.1774833,24.70159182,38.07051428,104.2769575,132.2389528,178.3961249,105.3592202,33.87086359,42.79358537,298.1051106,111.930455,127.6421043,107.2816242,45.90786757,31.25576749,215.2389076,95.77635118,254.9062022,150.0196967,0.98,102.4265261,0.485618821,35.29349807,0.562842792,80.43270707,0.517738784,0.983508639
0.91,2545.976784,2641.838123,127.713717,31.14418369,899.9969057,223.7361548,230.8912347,278.8894296,4.562265783,27.96349316,154.1046228,146.7570218,155.3636596,76.91644032,30,45.96469214,86.6664346,62.51528192,209.8489942,211.9630156,39.64514366,50.16019696,172.9227793,170.6980446,116.1048011,162.5319189,0.48,83.99231916,0.98,24.96005693,0.5,112.4452772,0.706785569,0.507270004
0,2532.817472,1715.551873,70.99596912,149.8658731,648.5266993,738.2887963,615.2663803,581.3436412,39.10177742,16.89771082,152.5422012,169.6474548,102.1996758,92.18905185,47.10030107,55.00762919,131.2512679,175.305845,173.6843549,230.4215211,51.65793878,30.12136703,68.62424918,228.241398,184.4363681,260.5486692,0.48,77.44601703,0.631293799,33.07044638,0.749355898,123.1433154,1,0.528284206
0,1539.280304,1619.583586,176.1961358,105.5588856,1284.797563,543.9908564,634.5651058,335.5836094,37.80733306,2.734492517,53.51647929,184.9467966,200.557607,192.3772352,54.70060917,50.81695008,55.95922088,296.5834597,191.6872203,100.7150573,24.47191597,44.04032189,234.8545335,225.4899178,74.19041601,91.38913674,0.48,102.9425456,0.76922735,24.64685239,0.837871789,94.8086781,0.5,0.982042038
0.015,2550.010935,2565.963519,70.33135157,69.21899915,1351.267997,1035.984966,391.1349556,175.0947915,26.46644353,25.26036076,185.0039693,94.12780155,123.2950328,134.2191714,51.00334014,37.11863627,177.4567941,230.6953938,195.6495038,129.8427083,42.93067165,25.84161949,201.4446223,201.1622946,238.3899829,77.21098037,0.48,83.33627459,0.48,21.65629354,1,99.99478133,0.540934689,0.5
0,1358.67109,2392.903618,164.030837,141.2690518,121.0738486,1151.846842,394.3237631,648.2043542,2.4936213,3.853969489,95.95462404,56.99415883,157.1538276,171.1451651,44.42822207,59.57553198,258.5852899,104.0343795,227.6739628,237.2070112,27.41197794,32.18852285,117.5964606,140.6583913,161.9684725,138.2166484,0.48,118.3725622,0.912543994,24.21662975,0.870294056,71.75229001,0.679443664,1
0,1370.922464,2099.567561,113.5286261,146.9814563,812.2531978,1039.304947,200.3533079,458.699447,1.164826321,45.39710081,98.3110337,129.0790707,125.6165148,207.2039787,33.07805799,40.54141006,178.3479566,79.56506274,111.7435365,222.284743,33.78199756,30.29227705,83.38811813,147.0093437,163.1999512,215.0452805,0.876270104,94.39629484,0.591146845,21.66192789,1,128.7549006,0.751828292,0.549595919
0,2289.631655,2261.134016,128.1195062,58.2606338,343.913028,1001.572025,324.4707991,582.9261709,40.725724,27.90692548,66.01711681,169.5699433,86.78425572,184.6320155,32.02050066,36.78174536,64.93615662,55.56045483,144.3158824,125.5234309,32.76349003,33.42385163,183.0918953,110.1508606,215.7242322,85.19799756,0.558415415,134.1005595,0.48,34.53913425,0.5,67.12664277,0.946392334,0.717106173
0,1488.644808,1268.174994,66.10558901,38.35290034,953.2544025,145.3709303,397.1182238,398.6282575,38.28430467,9.111171454,158.218583,138.9367882,185.2181127,100.5092731,58.29387037,37.81260317,64.61538795,173.9209256,133.005366,169.982378,38.04868457,35.4096825,147.4008256,115.1304476,82.80352714,139.9980132,0.735005745,86.0077718,0.656297584,29.37459302,0.973188256,121.3029065,0.5,0.505624828
0,1713.315866,1872.642577,114.9105422,157.7655719,1508.13919,1143.796668,432.6185638,176.4742952,42.71430602,1.704209259,175.3940362,65.02126129,126.5990172,166.422345,33.41023138,37.77289313,93.30834633,150.5346858,162.8374357,118.6932001,24.25197262,27.1837282,248.2133104,253.6742279,91.98376528,242.0305004,0.844394791,85.81859887,0.98,32.71773443,0.5,107.2503714,0.5,0.5
0,1832.634549,2568.674329,137.807034,28.32177979,648.1173744,1490.66688,216.7268311,543.4682325,41.23485528,23.33567556,135.1769886,104.9359198,78.20039753,125.8627284,44.29363436,51.7762644,78.76010222,168.6127216,151.7532592,239.1549984,36.74446152,40.80273535,123.0849477,152.9086865,70.47804135,230.0400134,0.53376167,80.46144673,0.48,19.3317439,1,131.4459006,1,0.998099801
1,2478.326825,2221.124139,104.1459019,85.26519252,612.6269016,331.7196141,312.5880015,460.4864615,23.81265924,31.01873295,95.93459083,111.1783814,88.57297724,124.3475359,43.00494854,47.01427355,89.66567635,56.73164082,188.2066148,102.9771833,37.14097859,46.88318369,137.2667726,192.8694876,147.5292532,109.792124,0.48,87.42099359,0.773679703,28.33414692,0.575654286,138.1127708,0.98666282,0.615856367
0,1671.597768,1791.879124,50.05367191,45.22409017,1379.862178,635.9760353,224.9349171,271.9814745,44.81645605,13.67482804,162.1873246,105.330835,132.1515894,213.4470333,30.6492979,57.03487036,238.3711608,275.7327166,149.3977269,118.1859936,44.37674109,51.59746664,241.2715802,154.331992,117.3058325,255.9628741,0.48,136.3707546,0.548384613,19.67275882,0.609783815,109.9365459,0.5,0.613488155
0,1804.577409,2102.24812,102.8451709,30.69275502,416.7081415,1546.946752,150,153.0643605,2.294143126,38.02976669,53.74152669,119.988318,148.5008389,219.1787132,46.85290925,30.61431033,148.258867,283.559778,176.9733756,191.8324278,51.72272738,54,245.6866601,186.1038185,242.8444534,69.84568682,0.797383991,90.6108834,0.607951659,23.53798588,1,131.5995152,0.5737721,0.762637868
0,1810.698176,1988.233759,140.8948152,139.3941425,1181.731584,975.2555841,626.4433732,184.9885439,11.386592,5.801206205,174.4219091,79.88102441,187.06649,97.42816249,54.3965246,39.92450983,89.31939694,131.787497,161.7891462,226.5475501,37.23002596,36.43594998,236.4172597,203.6321677,91.32151771,213.2758821,0.675195925,79.96115109,0.98,24.43107784,0.920729803,113.8720433,1,0.5
0,2717.246767,1721.098163,164.2435242,148.2528706,1326.147369,886.0647477,613.8118029,302.9108885,8.489268284,43.66764914,164.7511718,77.13843339,177.4910396,147.4091096,50.49817546,58.2558174,173.5905078,246.9481144,149.7590262,172.6924793,46.07250821,41.29324629,169.2723121,225.0475272,147.0755933,249.9285072,0.772294394,110.5453644,0.98,30.23711357,0.962177376,107.7719796,0.514535369,0.705121211
0,2166.837303,2015.57497,113.2899493,125.877396,1050.796021,782.7978915,225.9715265,540.3781102,7.516283509,39.85965593,131.1443046,136.8886606,180.3621556,110.2550673,43.22418165,38.716955,174.4679948,55.89521831,136.7081242,149.493479,49.12545786,53.94348373,142.0781808,77.51801426,159.688395,120.9353046,0.669762384,130.4089008,0.48,30.56626234,0.5,101.5849599,0.5,0.893886291
0,1737.030281,2244.17014,48.84262878,118.5949771,1175.070529,793.5284631,559.8617633,551.4090295,26.73076328,25.14150695,122.204359,113.177946,206.3067462,192.4954394,45.24749597,51.14951695,223.7339352,106.3810464,164.5912381,147.781319,46.37310851,24.90976117,245.9900928,98.70458938,200.7776162,131.7773159,0.920519536,121.6291625,0.98,33.8331151,1,127.4505057,1,0.629088172
0,2107.361269,2516.275728,131.8040041,64.03456971,289.8018219,1069.898448,491.0827938,180.2582451,19.6248831,16.93330638,136.1816372,66.93002114,189.9292711,220.6164826,51.72170761,56.44709146,225.1091684,167.9155706,199.9842889,144.3716554,26.11731241,44.81968806,217.9170763,149.550361,263.5997247,241.7632131,0.48,121.7220392,0.98,29.51553886,0.709051826,106.646344,0.59623218,0.542595324
0,2155.456016,2286.840247,145.2792705,129.9353471,383.1796686,1515.757017,169.7769013,612.1382456,24.10042853,49.5923726,65.7416146,182.2996731,168.9233959,121.521587,37.30739071,50.0992804,213.494595,281.185252,238.9539222,194.6401765,45.91884768,50.99127975,174.2118669,220.9347274,101.3701982,143.8916954,0.661613184,106.9657328,0.98,20.38513432,0.5,83.39354856,0.599086061,0.5
0,1682.98023,1422.170964,53.09501748,31.60066135,1169.899916,1451.319495,360.5132548,172.0208547,34.73579849,49.47673072,189.8173229,86.0123139,191.6025318,185.2257538,34.73475091,39.66178507,181.9550032,257.7050092,234.3393918,121.7652814,39.81544864,39.0451804,90.01376215,153.100905,77.45754686,203.224746,0.550901423,129.0579511,0.626725115,25.81008664,0.664421171,90.70462707,0.846324416,0.670447908
0.01,2548.582671,2099.003738,158.8449224,66.64240859,876.0456788,463.4342569,532.1948964,295.4867604,49.75109642,38.05939544,54.75010309,151.8578051,161.7380503,183.9758484,50.51085897,41.44908253,167.3374876,200.4869248,150.0159091,151.5487135,49.0136856,41.2316045,212.8402898,149.240742,137.4889728,201.3005328,0.98,115.2019443,0.60353086,21.24336586,1,116.0776122,0.5,0.520575325
0,1502.240646,2084.886665,95.04296748,135.0126519,448.3705702,427.4455189,360.8829587,400.3285908,33.59639882,33.92465335,71.44927653,111.8064417,159.4335107,175.2763414,48.21089411,31.55101796,117.0504692,53.82465886,180.4939811,241.745434,29.23313226,31.20270762,172.1305779,116.7520044,178.860282,149.3287648,0.866830302,106.3788475,0.48,26.5739367,0.918857812,72.43769449,0.5,0.772224488
0,2720.480225,2412.065923,62.00402743,40.98381288,256.8426565,798.3588118,610.6151622,374.9723634,31.74193103,41.00812099,56.89805595,153.4247775,109.0177165,161.4883807,37.02244623,48.50610676,210.5981315,184.3585748,207.8008208,214.5297934,31.50020501,31.82564904,71.38139133,258.8423098,232.2167284,181.9028879,0.98,118.344511,0.565096011,35.06213989,0.842276753,72.23992125,1,0.5
0,2063.943853,2706.337236,40.7592147,165.5478515,491.0951407,1520.078138,633.5922392,473.7018767,32.94744429,30.92279417,79.49203561,183.9463257,178.911705,71.69419227,38.62944862,59.39213896,146.0058673,179.5222687,174.7518672,111.2408889,49.36755807,45.65210029,101.4220854,200.1241172,176.6982886,104.5227527,0.606188004,136.7013355,0.98,29.20585262,0.5,122.812638,0.840824512,0.5
0,1578.298537,2703.126018,149.2419081,73.17952796,165.6107854,1097.072142,423.463025,220.2813588,18.45960507,3.085168304,142.5959464,140.6281735,99.59912506,180.8462667,38.76736797,38.54167631,155.058282,64.86240956,225.7000672,176.9625724,31.06156279,41.73958723,170.4076997,229.5072499,145.4069905,245.0921608,0.98,109.5233085,0.613404382,35.26635329,0.748398288,75.28482478,0.897820215,0.5
0,1558.316333,2305.74128,31.69749272,99.91357202,1026.80446,1048.141195,360.7749768,190.273853,41.84498314,5.683521279,170.012443,166.4601136,93.21277461,167.6372362,49.21643477,46.33529506,191.8580766,138.2489489,142.0716272,103.1086121,49.79435684,47.76521174,75.46594606,227.3790396,233.0423241,182.517625,0.566000813,106.6751788,0.775993763,28.09864291,0.794751451,95.30108158,0.5,0.5
0,1897.698582,1778.562163,75.76952831,103.0309819,1071.690589,140.8944729,558.6933965,346.4660249,43.01296786,17.48362542,137.3828361,108.9615249,186.7450635,119.5776199,37.57958025,52.96624119,80.18875926,120.2940851,224.9838072,199.7353383,50.62585149,43.66082203,73.64554732,88.79358908,201.6650229,257.2308667,0.852153912,81.57185142,0.98,33.5528353,1,132.3881195,0.95348081,0.5
0.005,2609.113294,2340.809284,109.8567092,101.5179624,615.3966129,227.0033413,432.5677176,527.0092588,18.00062187,40.74459652,127.1706085,69.42821921,134.4483807,120.9312318,39.15658044,38.99540105,231.1290595,147.5861678,139.8306371,181.1811928,41.93578827,33.34842441,100.5082237,199.804746,97.72202123,256.7748682,0.98,110.9224577,0.943761273,22.74311046,0.5,108.430175,0.815343526,0.887239262
0,1966.356024,2167.910509,84.9118561,61.09403789,458.3347411,519.1976546,228.3109611,621.0027379,33.16144918,26.21649465,178.1722243,103.2213543,92.45794754,177.1280922,32.00380338,58.67754776,274.1029363,293.4939795,173.2381248,192.9768668,42.70471201,49.26210301,189.1414501,138.2851878,175.6538725,203.6195276,0.594729099,94.64945096,0.932456721,25.62185307,0.5,119.1184664,0.594071195,0.675465789
0,1281.007411,2568.750043,63.1421841,162.4725869,218.4643919,1330.144955,589.8019877,538.013721,5.240944773,49.8936131,59.47158226,80.85800207,160.1003945,123.3315314,34.84284734,46.29997353,54.84756034,86.90331454,207.441865,232.3312364,41.90489428,42.13348281,238.5544385,228.277853,265.4114834,252.1547274,0.761145228,119.2333243,0.905264825,26.17743243,0.820381918,123.1598227,0.722943821,0.899274734
0,2211.687264,2479.682098,169.3300772,103.9773145,297.6750639,1416.017284,297.1953925,299.2894619,6.042968499,47.64297699,195.3307449,76.36415153,131.9671623,158.9793135,50.77867028,40.85285107,59.87648172,134.9760152,218.0441172,137.1370819,41.441162,39.40935219,91.29876795,249.7264788,255.1750435,125.199222,0.553529725,108.9890153,0.606731505,31.23442254,0.993273565,132.7074533,1,0.5
0.13,2344.611551,1850.62804,159.197987,37.93751786,1507.334455,1156.744432,200.9574908,549.0666739,34.570957,45.09845964,50.10334839,158.3470663,174.6202206,141.7502301,56.39562428,43.86390469,113.508605,167.6416583,226.8438036,115.3162589,50.60999729,48.48367621,70.12210345,163.6542679,94.16848955,169.7921831,0.48,95.72346425,0.966277886,30.8007926,0.538438649,114.3457631,1,0.5
0,2228.866338,1716.551259,45.93833204,143.2666382,454.8660126,865.4660984,433.967245,574.0563415,7.100770549,9.430196937,153.0047075,85.7497467,81.20867287,184.6950303,30.92710786,49.30970691,230.3304193,143.3784921,170.4310876,211.1628536,46.55716108,30.2272725,168.4895901,145.1245281,99.58195854,127.5206301,0.48,102.9843636,0.48,19.33544704,0.617578553,73.35446333,0.943073238,0.899829657
0,2271.323459,1518.208899,56.45917597,126.3091334,756.8941179,1428.109216,481.5749421,304.7375742,23.45212483,24.38765706,106.8656398,78.27533503,150.4127049,189.4304091,33.1313068,56.59862189,186.1315755,197.5433716,183.2158817,225.4577449,24.56960389,38.65185765,108.9127286,236.1784327,82.35362488,96.37871844,0.481363477,108.3816469,0.933761547,19.87228941,0.679667099,107.4818012,0.792578733,0.5
0.02,1759.632205,2378.614832,101.1208346,82.23386709,184.860477,497.5344749,297.0850839,318.5213979,20.42533892,27.25236297,126.4632989,131.0069797,119.1171912,131.9836773,36.77727691,48.46063722,239.7692197,80.16535258,217.3697044,237.3420276,45.91851627,50.7012277,172.9063529,251.838007,127.2323325,267.2322893,0.48,93.45614812,0.48,25.88026153,0.992713141,78.70810432,0.983897144,0.5
0,2034.632441,1770.39467,165.0437759,124.293701,1206.701605,192.3947632,344.7700533,641.3522776,1.800195649,39.39457512,144.7149023,65.49900857,202.7457135,200.7207955,31.95688742,50.68584172,298.2477144,233.5744662,221.2500172,148.7755559,37.63712091,35.81369802,156.8449012,83.1678875,266.8341781,183.0853023,0.98,124.3113758,0.48,34.58929312,0.5,94.93397542,0.883226799,0.747608105
0.57,2119.565595,2685.19072,133.662434,86.5042142,1253.521799,611.8995226,448.9479366,644.1742005,44.49719784,48.05748342,53.61560921,151.5339833,205.2526758,136.7231029,33.03625074,59.35699324,299.4337781,60.11772386,146.9008433,110.7746164,32.30203417,43.60337056,172.9371871,183.2658568,153.5859356,95.31917131,0.98,109.9755523,0.48,25.82824796,1,126.4015059,0.78680397,1
0,2459.700749,2125.292109,69.52710737,95.0264702,449.8385872,1380.648905,258.1227712,204.6975059,15.28532663,7.535199325,81.22197272,54.747574,97.1676761,79.10760856,46.08239853,30.87758737,126.1325266,189.1178069,157.0235724,233.8800156,31.12674301,33.66160262,138.1373503,225.2591418,267.7628468,147.4785985,0.838692762,117.8348913,0.98,25.03893783,0.782528877,74.77330948,0.955302144,1
0.01,2659.406622,1969.649732,97.1881198,35.87574323,1202.049255,894.2147878,206.1498929,220.5982588,44.69287799,28.09895651,68.33792183,171.4889057,88.78639946,135.6678188,58.4058726,39.97016211,150.065932,197.479961,197.0060207,224.9752535,48.99899062,42.48191639,254.816449,92.97024562,234.5904378,101.3192208,0.82359045,132.6991351,0.492172257,25.05435309,0.768318013,74.65116137,1,0.5
0,1545.425679,2569.826695,136.4859774,47.37791214,1130.355402,172.0802516,612.1412979,539.1646577,28.36353222,50,109.831232,56.22569416,207.6207915,202.4270299,31.56842639,35.81440987,102.8003699,205.1681492,198.9764739,154.2300291,28.8132245,41.79844671,98.82521369,105.451744,240.8394406,70.06431635,0.605518165,95.45692894,0.937502918,31.04963091,0.5,82.72091483,1,0.724952334
0.015,2452.053197,2487.447801,117.6718456,39.67112215,162.1652245,974.9490558,396.9025665,410.7688287,0.640131194,10.53806053,60.07443445,108.4834349,128.1948368,182.4716291,52.88762998,54.44750958,265.8801296,223.2237389,125.9428868,190.830568,49.60259778,30.87138292,189.3762174,104.3675957,90.56114297,69.28846073,0.98,94.18810586,0.98,23.83229741,1,140.2378184,1,0.5
0,1325.75659,2540.479459,31.41554682,135.0821663,583.4949179,325.3682998,400.0350981,421.8161055,3.856717839,20.13139859,152.0447095,99.09255405,120.6435394,127.7471631,52.99998343,55.32864906,89.13541588,261.2415015,109.746213,106.2043829,45.1175979,39.83593745,246.2290024,218.1740457,124.5705015,69.59590071,0.907032147,105.9474656,0.74694189,31.35468079,0.5,126.6326192,0.5,0.741312317
0.995,2161.673568,1480.737276,174.1174466,51.94378992,1288.928208,224.5034275,293.9647969,554.0360588,13.56510369,34.52582832,55.47918159,108.4976098,219.8228834,74.7966916,37.86548605,41.46201048,234.5920915,139.0411378,194.1561421,111.9712726,27.54799757,36.0862253,79.07084995,151.6116168,266.9606808,263.5825877,0.729728318,115.2446725,0.523123907,34.39914676,0.930482857,98.62250267,1,0.5
0,1385.932129,2071.735543,135.4222073,147.6467254,217.978477,1211.659888,580.795575,633.6492484,29.35790049,48.54062399,101.6410467,149.5632325,183.1690194,94.49724222,44.10829736,30.10637121,213.0128033,86.41094101,137.9573236,141.6067382,42.52653163,31.667603,191.3135653,144.9479231,194.574095,188.4304812,0.48,106.596808,0.98,25.17003062,0.5,123.2817527,0.602415833,0.5
0,1470.527164,2500.041202,155.2501245,172.3202099,372.1703758,657.5306179,635.6233282,568.695615,35.3174246,40.8728453,99.19620354,134.654293,121.2447409,190.1734845,45.73648643,37.63607976,160.310926,216.834749,142.2865755,104.6358715,46.24654854,51.76545786,256.7209797,151.4386269,90.93100684,201.4165877,0.566759017,80.86047335,0.98,22.24590351,0.5,70.3834927,0.716812487,1
0.015,2145.137339,2644.383437,100.0801817,94.15142482,293.5019222,1071.124739,619.8548642,333.5763905,41.30968991,13.54011578,150.3070194,74.95900415,197.7176124,167.0419369,42.31255272,39.01077423,262.8543858,62.81369408,207.8651596,211.4279619,52.61908389,45.92030568,262.1125789,92.55293052,75.5156966,170.2117474,0.906718751,94.15582153,0.715553532,22.35516409,1,91.65062104,0.508772291,0.836477503
0,2520.303926,1944.007359,50.66152242,112.0927269,1046.451889,1372.719622,587.8260216,312.9767149,37.07797732,16.94210741,174.989172,106.9651766,214.8465743,91.3620091,40.67826584,56.82453171,239.0745887,66.13375417,131.9347162,141.490847,40.61986517,53.03090017,214.7583984,232.8198708,180.4736434,210.8688107,0.711550878,76.50449869,0.680659619,32.73104004,0.574677751,87.67995246,0.5,0.720267416
0,1487.734741,2487.178156,97.09913261,97.45789236,288.3189616,593.2253034,330.4901288,195.3294263,38.6772141,40.44454935,94.87133756,148.0009426,121.6745428,96.48127581,39.67172234,57.1465361,210.1562973,94.37791877,153.2000297,193.31634,50.5114938,35.79874438,65.37777425,175.2260845,187.0559231,223.8604633,0.59139472,106.337158,0.567827302,35.98600766,0.613489713,131.0701173,0.5,1
0,1713.619206,2224.884019,66.23700565,98.1137872,681.8098483,1207.862149,610.676331,463.6673299,22.42305603,26.56414758,180.0541574,152.2957548,74.47192671,179.4954743,37.43126883,54.72929334,172.7390619,230.4084061,242.9046844,106.4183636,25.72853193,44.70627381,218.9219088,180.4700525,191.0079697,207.8325449,0.86416213,76.49300818,0.944702176,22.73419725,0.842675671,86.91095877,0.918927168,0.698095499
0,2414.821342,2705.765216,58.90293368,162.6058141,846.3161768,719.9382885,158.5484855,424.6969313,30.25744421,25.53320384,166.2535739,103.4892321,151.1413168,138.0201366,44.44685255,43.05449576,67.69979555,253.9165608,179.9700598,199.3278528,42.16648108,49.9448768,127.2777127,210.9224231,93.52407617,137.9809778,0.537016367,106.9073586,0.98,35.87271296,0.629255322,103.8962094,0.681388168,0.934934236
0,2176.848171,2262.630774,28.37850348,51.79628004,1373.593311,1018.354367,442.8314245,617.2582986,40.95152529,32.41069257,69.17325928,187.7257192,98.19976237,185.1298044,49.84325378,43.85200021,165.1482121,265.3663912,107.722139,149.8537228,42.2739904,48.33631433,105.8263437,102.6256034,182.9561796,125.9938726,0.714204951,119.8369158,0.509456351,22.85265299,0.657489418,108.3065804,0.815458552,0.537523473
0,1673.084289,2487.817869,33.13586221,175.032761,1462.355425,477.8039107,434.6853493,246.4348432,5.707686665,12.61895005,49.49881196,138.6610461,169.3622435,79.6780946,53.59545647,43.05911457,70.64071871,208.8358575,185.4243159,157.1530608,46.69871294,28.46584492,243.5912585,73.96948334,243.1891727,160.7843331,0.711401136,95.43316589,0.531295252,24.01351889,0.655274063,84.25418716,0.83014994,0.954872587
0,2621.638539,2475.267642,38.08155552,88.39790475,1467.011179,139.417209,258.8980674,560.1642165,30.80960169,23.51692325,96.38273717,176.333117,137.1670392,178.3428087,50.41499517,43.52706573,217.7719154,116.9927116,232.9945844,116.1175486,51.73328114,27.17296777,179.8210803,215.3025781,85.02424234,243.6932881,0.707813853,109.6853125,0.98,25.6019394,0.576629598,94.43093345,0.828327657,0.5
0,1604.575502,2606.381845,142.8180785,63.39977653,364.9062076,1042.338899,257.5519072,552.1053677,41.80085395,46.76590613,190.290426,52.93391309,205.7532578,184.5789131,57.44362039,54.72495524,109.165023,102.7870738,208.552114,171.6068274,37.08690338,44.26138572,134.9381597,238.5385334,163.3874142,160.86662,0.58246674,113.4655007,0.851109432,29.41697285,0.55250849,127.7353423,1,0.502867531
0,2409.575298,2530.116181,87.23087505,176.4009168,549.408863,1562.945562,317.2640622,468.5378299,6.287101149,21.21430192,88.49780732,93.30771065,100.1306622,170.1418382,44.78973106,47.81828812,226.1069014,119.5237734,161.6825728,178.2785999,45.71536655,27.77533941,232.3637085,179.8977171,161.6753503,78.72354714,0.667553192,97.40004174,0.839716626,30.58266145,0.752914487,104.2874082,0.5,1
0,2409.667441,1535.426818,129.9492459,35.34640465,1378.5746,1051.940024,465.7325846,475.9949657,32.38032132,20.38593109,189.7148279,127.2467507,143.6033586,114.3434543,57.94169442,51.77232909,289.1066996,170.8720081,168.093744,179.3016375,50.76049445,31.01783523,166.0850727,262.4196558,171.3918899,103.9301271,0.909597929,106.0966106,0.498808505,20.06121402,0.81267713,78.09196531,0.881473371,0.5
0.01,1681.970375,2265.901484,131.8574521,62.05743726,1059.447124,1342.226259,484.4729021,626.3501131,41.03699592,4.305744289,73.58085852,160.8826844,160.47337,168.84139,37.242546,51.78045272,298.1457721,272.463445,168.7045714,156.1554843,28.84297806,41.24838645,88.48696377,136.6114084,91.62740407,240.4092787,0.98,103.3082688,0.743492817,24.99650291,0.675258542,115.9023217,0.862865795,0.932661757
0,2286.420412,2322.496321,105.6418249,144.4651918,186.8292513,1515.754366,593.4489307,370.9099326,10.02602052,47.93504077,177.1754958,160.893125,76.56029727,104.6426705,45.7435761,56.20812762,75.94230697,104.3401038,110.8027806,212.1718412,44.55154438,32.002113,104.5507993,69.11360085,220.5493213,189.4696241,0.949001984,108.1132849,0.98,33.02672035,0.745159481,73.57207235,0.867977927,0.859785915
0,1900.871011,2590.880105,128.9843363,109.909071,845.6823996,946.6828344,448.0051656,440.3139716,19.58147416,0.89925581,120.8138871,121.2183945,169.890841,100.2809306,40.6794409,59.40399002,261.1676174,294.4345838,218.3607779,150.812521,29.77718791,49.283845,128.6995067,170.4425128,116.4145992,258.9270827,0.98,111.690396,0.487827479,32.28388528,1,83.87339085,0.576630289,0.916181485
0,1745.410141,1894.493695,174.3177808,45.05285852,522.1329534,1035.228319,571.6900691,213.4587679,48.84195419,5.652298943,193.5215183,125.6277598,113.7263468,132.8341368,49.45541378,52.01604693,180.2406586,102.5831902,128.6929278,175.7430376,40.12865645,24.61646481,250.1109685,76.97452939,136.1054196,160.7840712,0.571424514,91.29031914,0.48,20.3813644,0.50464556,71.57682027,0.518999047,1
0.005,2072.413886,1384.765271,68.35941193,33.3900823,1222.028472,1173.500962,548.9973267,327.9836114,33.29826903,37.29332792,110.6429887,118.2720974,78.71669271,140.7389294,48.74877243,35.6498432,251.945829,174.4541487,100.8724972,137.390383,28.82706258,32.4327817,240.4568486,135.6787505,238.8640744,117.5720532,0.98,127.1819391,0.98,29.42555029,0.61293972,110.1196489,0.55340653,0.527953273
